Bandaaceh,29500
Langsa,44000
Lhokseumawe,43000
Sabang kota Sabang,43000
Subulussalam,43000
Binjai Barat binjai,28000
Medan,23500
Padang Sidempuan Batu Nadua,33500
Tanjung Balai Asahan,37500
Tebing Tinggi tebing Tinggi,35000
Medan,23500
Tanjung Morawa lubuk Pakam,33500
Dumai Barat Dumai,29500
Pekanbaru,21000
Minas siaksriindapura,46500
Rumbai Pesisir Pekanbaru,21000
Marpoyan Damai Pekanbaru,21000
Duri-mandau bengkalis,29500
Batam,20500
Nongsa / Kabil,20500
Singkep Barat Daik,60000
Kundur Barat Kab. Karimun,52000
Padang,20000
Pariaman Selatan,28000
Payakumbuh,28000
Sawahlunto,23500
Solok,28000
Lubuk Alung pariaman,35000
Jambi,17000
Lubuk Linggau,29000
Pagar Alam Selatan pagar Alam,37000
Prabumulih,29000
Sungai Lilin sekayu,31500
Belinyu sungailiat,30500
Jebus kelapa,39500
Kelapa Gading jakarta Utara,6000
Bengkulu,19000
Metro Barat Metro,24500
Sumber Jaya Liwa,51000
Pringsewu Kota Agung,37000
Bukit Kemuning Kotabumi,32000
Jakarta,6000
Cilegon,7500
Serang,8500
Tangerang,7000
Anyar baros,10500
Merak cilegon,7500
Balaraja tigaraksa,7500
Bandung,9000
Banjar,17500
Bekasi,7000
Bogor,7000
Cimahi,10000
Cirebon,9000
Depok,7000
Sukabumi,9500
Tasikmalaya,12500
Majalaya karawang,12000
Jatinangor sumedang,18000
Lembang Jaya arosuka,35000
Rancaekek soreang,14500
Magelang,15500
Pekalongan,20000
Salatiga,14500
Semarang,13500
Tegal,20500
Ambarawa Ungaran,17000
Cepu blora,23500
Majenang cilacap,18000
Ajibarang purwokerto,23500
Kartosuro sukoharjo,22000
Bumiayu brebes,28000
Banyumas purwokerto,18500
Yogyakarta,13500
Prambanan klaten,22500
Batu,22000
Kediri,20000
Madiun,16500
Malang,19000
Mojokerto,19000
Pasuruan,20000
Kraksaan probolinggo,26000
Surabaya,14500
Paiton probolinggo,26000
Wlingi blitar,30000
Denpasar,17000
Kuta,19000
Nusa Dua kuta,19000
Sanur kuta,19000
Jimbaran kuta,19000
Pontianak,22500
Singkawang,33500
Banjarbaru,30000
Banjarmasin,26500
Palangkaraya,25500
Balikpapan,31000
Bontang,40500
Samarinda,36500
Tarakan,41500
Sebatik Nunukan,53000
Palaran,46500
Sanga-sanga,51000
Muara Badak,51000
Palu,35000
Makassar jakarta Timur,6000
Palopo,45000
Pare-pare,45500
Soroako/malili kab.luwu Timur,53000
Bau-bau,53000
Kendari,38000
Manado,40500
Tomohon,47500
Bitung,46500
Mamuju,32000
Gorontalo,39500
Ambon,45000
Ternate,46500
Tidore,59000
Bima,37000
Mataram,22000
Kupang,44000
Sorong,69500
Abepura jayapura,92500
Jayapura,69500
Sentani Barat jayapura,104000
